Distance_to_wall-180	Distance_to_copter-180	Distance_to_wall-135	Distance_to_copter-135	Distance_to_wall-90	Distance_to_copter-90	Distance_to_wall-45	Distance_to_copter-45	Distance_to_wall0	Distance_to_copter0	Distance_to_wall45	Distance_to_copter45	Distance_to_wall90	Distance_to_copter90	Distance_to_wall135	Distance_to_copter135	Class
0.7286587	0.1918991	8	8	6.263689	3.375821	8	6.832383	6.871341	2.102486	5.982556	3.163182	3.336312	8	8	8	7
6.223853	1.233198	8	5.034011	5.456984	3.003787	8	8	1.376147	8	8	8	4.143016	1.96135	5.999376	3.595518	1
0.1721106	8	8	8	6.066721	3.34227	8	3.992729	7.427889	0.1974209	6.553555	3.724027	3.533279	8	8	8	8
3.179331	2.096607	8	3.171149	5.752826	3.479645	8	4.633922	4.420669	1.054421	4.621569	2.61645	4.075766	2.301639	8	8	5
7.562082	5.217345	8	8	1.435506	8	8	8	0.03791738	8	8	8	8	3.838295	8	0.741205	1
1.536447	8	8	8	2.582016	8	8	0.2824959	6.063553	4.706278	8	3.171149	7.017985	3.34227	8	8	3
3.552869	8	8	3.152193	8	2.301639	8	3.595518	4.047131	1.663924	2.432597	8	8	8	2.025649	8	5
1.979922	8	8	8	2.063237	8	8	8	5.620079	4.237691	8	4.20065	7.538854	3.479645	8	0.2824959	7
6.617596	4.237691	8	8	2.076047	8	8	0.741205	0.9824045	8	8	8	7.523953	3.003787	8	3.840064	0
4.632082	1.054421	8	4.081481	5.822496	8	8	3.840064	2.967918	1.233198	8	1.661009	3.945428	2.420646	4.682748	8	5
0.7357659	0.1974209	8	8	6.264722	3.368742	8	6.820867	6.864234	2.096607	5.976136	3.152193	3.335278	8	8	8	7
6.214597	1.21912	8	5.021699	5.456593	2.999058	8	8	1.385403	8	8	8	4.143408	1.99777	5.993049	3.582855	1
0.1759756	8	8	8	6.062001	3.328366	8	3.991621	7.424025	0.2043543	6.552947	3.719319	3.538	8	8	8	8
3.178983	2.089714	8	3.157794	5.744041	3.470531	8	4.619892	4.421017	1.058051	4.629134	2.645868	4.08397	2.302121	8	8	5
7.555068	5.202496	8	8	1.436221	8	8	8	0.04493213	8	8	8	8	3.837953	8	0.7429992	1
1.53358	8	8	8	2.589592	8	8	0.2964537	6.06642	4.702972	8	3.157794	7.010408	3.328366	8	8	3
3.553594	8	8	3.139485	8	2.302121	8	2.421882	4.046406	1.643594	2.43639	8	8	8	2.031435	8	5
1.987568	8	8	8	2.061441	8	8	8	5.612432	4.22359	8	4.192472	7.540831	3.470531	8	0.2964537	7
6.611118	4.22359	8	8	2.080742	8	8	0.7429992	0.9888813	8	8	8	7.519258	2.999058	8	3.823637	0
4.635365	1.058051	8	4.073969	5.813771	8	8	3.823637	2.964635	1.21912	8	1.702716	3.952878	8	4.691761	2.421882	5
0.7446947	0.2043543	8	8	6.266458	3.360543	8	6.806604	6.855305	2.089714	5.967823	3.139485	3.333543	8	8	8	7
6.204928	1.204346	8	5.007581	5.455856	2.993186	8	8	1.395072	8	8	8	4.144145	2.034532	5.986678	3.569083	1
0.1799247	8	8	8	6.056352	3.312513	8	3.989858	7.420075	0.2130999	6.552788	3.71474	3.543649	8	8	8	8
3.178324	2.081666	8	3.141694	5.733672	3.459045	8	4.60363	4.421676	1.06202	4.638203	2.677063	4.093577	2.303154	8	8	5
7.547356	5.185619	8	8	1.437169	8	8	8	0.05264425	8	8	8	8	3.836975	8	0.7454318	1
1.53099	8	8	8	2.598407	8	8	0.3117758	6.06901	4.698331	8	3.141694	7.001593	3.312513	8	8	3
3.554697	8	8	3.124903	8	2.303154	8	2.423461	4.045303	1.62351	2.440475	8	8	8	2.038233	8	5
1.996573	8	8	8	2.060023	8	8	8	5.603427	4.207024	8	4.181882	7.542472	3.459045	8	0.3117758	7
6.603522	4.207024	8	8	2.086163	8	8	0.7454318	0.9964776	8	8	8	7.513838	2.993186	8	3.804582	0
4.63868	1.06202	8	4.064276	5.803406	8	8	3.804582	2.96132	1.204346	8	1.746229	3.961902	8	4.702129	2.423461	5
0.7550397	0.2130999	8	8	6.2688	3.351517	8	6.790215	6.84496	2.081666	5.958003	3.124903	3.3312	8	8	8	7
6.195148	1.189646	8	4.993256	5.45506	2.98651	8	8	1.404852	8	8	8	4.14494	2.071455	5.980278	3.554795	1
0.1851921	8	8	8	6.05016	3.294312	8	3.987705	7.414808	0.2221709	6.551841	3.709684	3.54984	8	8	8	8
3.177033	2.072037	8	3.124544	5.723232	3.447598	8	4.586842	4.422966	1.066037	4.647679	2.709274	4.103052	2.304214	8	8	5
7.539029	5.16752	8	8	1.438479	8	8	8	0.06097126	8	8	8	8	3.835438	8	0.7480485	1
1.527697	8	8	8	2.608413	8	8	0.3291589	6.072303	4.693851	8	3.124544	6.991588	3.294312	8	8	3
3.556302	8	8	3.10932	8	2.304214	8	2.426003	4.043698	1.603915	2.444271	8	8	8	2.045571	8	5
2.0061	8	8	8	2.058137	8	8	8	5.5939	4.18936	8	4.169719	7.544606	3.447598	8	0.3291589	7
6.595333	4.18936	8	8	2.092278	8	8	0.7480485	1.004667	8	8	8	7.507722	2.98651	8	3.7834	0
4.641486	1.066037	8	4.052744	5.791375	8	8	3.7834	2.958514	1.189646	8	8	3.972677	1.791784	4.713565	2.426003	5
0.7665992	0.2221709	8	8	6.271661	3.341478	8	6.772264	6.833401	2.072037	5.946894	3.10932	3.328339	8	8	8	7
6.1838	1.173236	8	4.976787	5.45468	2.980491	8	8	1.4162	8	8	8	4.14532	2.107666	5.97248	3.538935	1
0.1908743	8	8	8	6.042397	3.273518	8	3.984107	7.409125	0.231396	6.551435	3.704646	3.557603	8	8	8	8
3.17591	2.062544	8	3.106048	5.712287	3.43497	8	4.569331	4.42409	1.069715	4.657494	2.742184	4.113064	2.305174	8	8	5
7.529377	5.146918	8	8	1.439725	8	8	8	0.07062292	8	8	8	8	3.834435	8	0.7499624	1
1.524513	8	8	8	2.619512	8	8	0.3478123	6.075487	4.688909	8	3.106048	6.980489	3.273518	8	8	3
3.557627	8	8	3.093437	8	2.305174	8	2.429304	4.042373	1.585504	2.448627	8	8	8	2.053051	8	5
2.016873	8	8	8	2.056658	8	8	8	5.583127	4.169973	8	4.155354	7.546379	3.43497	8	0.3478123	7
6.586658	4.169973	8	8	2.098279	8	8	0.7499624	1.013342	8	8	8	7.501721	2.980491	8	3.761001	0
4.644154	1.069715	8	4.039418	5.778035	8	8	3.761001	2.955846	1.173236	8	8	3.984756	1.838899	4.725994	2.429304	5
0.7782757	0.231396	8	8	6.273958	3.329859	8	6.753572	6.821724	2.062544	5.936015	3.093437	3.326042	8	8	8	7
6.172117	1.157738	8	4.9604	5.454796	2.974109	8	8	1.427883	8	8	8	4.145205	2.143454	5.964107	3.522037	1
0.1967678	8	8	8	6.034127	3.251146	8	3.981339	7.403232	0.241338	6.551149	3.698653	3.565874	8	8	8	8
3.174998	2.053321	8	3.085683	5.699881	3.421794	8	4.55011	4.425002	1.071843	4.66843	2.776426	4.124535	2.306399	8	8	5
7.519237	5.124722	8	8	1.44173	8	8	8	0.0807631	8	8	8	8	3.833135	8	0.7513949	1
1.521027	8	8	8	2.631598	8	8	0.3688298	6.078973	4.684523	8	3.085683	6.968403	3.251146	8	8	3
3.558404	8	8	3.075783	8	2.306399	8	2.431662	4.041596	1.568477	2.454061	8	8	8	2.060812	8	5
2.028556	8	8	8	2.054091	8	8	8	5.571444	4.14996	8	4.140212	7.54928	3.421794	8	0.3688298	7
6.578229	4.14996	8	8	2.105216	8	8	0.7513949	1.021771	8	8	8	7.494784	2.974109	8	3.738169	0
4.645432	1.071843	8	4.024432	5.764279	8	8	3.738169	2.954568	1.157738	8	8	3.997627	1.887185	4.737968	2.431662	2
0.7904551	0.241338	8	8	6.276717	3.317611	8	6.734406	6.809545	2.053321	5.924465	3.075783	3.323283	8	8	8	7
6.158871	1.141382	8	4.94175	5.455154	2.968086	8	8	1.441129	8	8	8	4.144846	2.17873	5.954464	3.503532	1
0.2033246	8	8	8	6.02571	3.227016	8	3.978679	7.396675	2.589834	6.550411	0.2517762	3.574291	8	8	8	8
3.173908	2.04315	8	3.063454	5.686968	3.407511	8	4.530519	4.426092	1.073612	4.679896	2.811638	4.136434	2.307604	8	8	5
7.508917	5.100855	8	8	1.443704	8	8	8	0.09108329	8	8	8	8	3.832536	8	0.7528676	1
1.517648	8	8	8	2.645206	8	8	0.3918202	6.082352	4.680052	8	3.063454	6.954794	3.227016	8	8	3
3.559146	8	8	3.05696	8	2.307604	8	2.432937	4.040854	1.55257	2.459857	8	8	8	2.068923	8	5
2.041761	8	8	8	2.051671	8	8	8	5.558239	4.128306	8	4.124069	7.5521	3.407511	8	0.3918202	7
6.569662	4.128306	8	8	2.112213	8	8	0.7528676	1.030338	8	8	8	7.487787	2.968086	8	3.715845	0
4.646131	1.073612	8	4.008274	5.750923	8	8	3.715845	2.953869	1.141382	8	8	4.010278	1.93554	4.749292	2.432937	2
0.8036845	8	8	0.2517762	6.279442	3.303703	8	6.714232	6.796315	2.04315	5.912078	3.05696	3.320558	8	8	8	7
6.144778	1.12571	8	4.921887	5.454978	2.96067	8	8	1.455222	8	8	8	4.145023	2.214462	5.944617	3.484911	1
0.2094126	8	8	8	6.015758	3.201691	8	3.974496	7.390587	2.582594	6.550937	0.2633881	3.584242	8	8	8	8
3.17235	2.032902	8	3.041004	5.673891	3.392568	8	4.509652	4.42765	1.074309	4.691761	2.847774	4.148347	2.308866	8	8	5
7.498389	5.076806	8	8	1.445514	8	8	8	0.1016107	8	8	8	8	3.831792	8	0.7558278	1
1.514236	8	8	8	2.658734	8	8	0.4145018	6.085764	4.674232	8	3.041004	6.941267	3.201691	8	8	3
3.55966	8	8	3.037752	8	2.308866	8	2.434324	4.04034	1.538125	2.465965	8	8	8	2.076982	8	5
2.055006	8	8	8	2.049651	8	8	8	5.544994	4.105337	8	4.106056	7.554543	3.392568	8	0.4145018	7
6.559793	4.105337	8	8	2.120031	8	8	0.7558278	1.040207	8	8	8	7.479969	2.96067	8	3.692188	0
4.645317	1.074309	8	3.990667	5.736768	8	8	3.692188	2.954683	1.12571	8	8	4.024115	1.985377	4.760411	2.434324	2
0.8168051	8	8	0.2633881	6.282513	3.290282	8	6.692824	6.783195	2.032902	5.899586	3.037752	3.317487	8	8	8	7
6.129953	1.110586	8	4.9001	5.453771	2.951227	8	8	1.470047	8	8	8	4.14623	2.25117	5.934998	3.465574	1
0.2155955	8	8	8	6.00455	3.173837	8	3.969659	7.384404	2.57539	6.552112	0.2756921	3.59545	8	8	8	8
3.170976	2.023342	8	3.017262	5.660057	3.376735	8	4.486578	4.429024	1.073744	4.704172	2.884782	4.161044	2.310054	8	8	5
7.487368	5.051102	8	8	1.448328	8	8	8	0.112632	8	8	8	8	3.829202	8	0.7593856	1
1.510268	8	8	8	2.673464	8	8	0.4392036	6.089731	4.667771	8	3.017262	6.926536	3.173837	8	8	3
3.560689	8	8	3.018215	8	2.310054	8	3.465574	4.039311	1.524325	2.472161	8	8	8	2.086035	8	5
2.069304	8	8	8	2.047571	8	8	8	5.530696	4.080119	8	4.08653	7.557105	3.376735	8	0.4392036	7
6.548686	4.080119	8	8	2.128807	8	8	0.7593856	1.051314	8	8	8	7.471193	2.951227	8	3.667259	0
4.643409	1.073744	8	3.971658	5.722206	8	8	3.667259	2.956591	1.110586	8	8	4.038645	2.036144	4.771255	8	2
0.8298728	8	8	0.2756921	6.286016	3.276067	8	6.670164	6.770127	2.023342	5.886891	3.018215	3.313984	8	8	8	7
6.113783	1.095349	8	4.877286	5.451537	2.940492	8	8	1.486217	8	8	8	4.148463	2.288721	5.925182	3.445057	1
0.2213197	8	8	8	5.993001	3.14493	8	3.965456	7.37868	2.569558	6.553881	0.288702	3.606999	8	8	8	8
3.170416	2.015261	8	2.991829	5.644998	3.360817	8	4.461917	4.429584	1.071541	4.71719	2.922576	4.175167	2.310932	8	8	5
7.474978	5.023931	8	8	1.451957	8	8	8	0.1250215	8	8	8	8	3.824866	8	0.7614362	1
1.506611	8	8	8	2.689282	8	8	0.4650836	6.09339	4.661361	8	2.991829	6.910718	3.14493	8	8	3
3.561713	8	8	2.997795	8	2.310932	8	3.445057	4.038287	1.511701	2.479191	8	8	8	2.096033	8	5
2.083529	8	8	8	2.044662	8	8	8	5.516471	4.055318	8	4.067578	7.56052	3.360817	8	0.4650836	7
6.537868	4.055318	8	8	2.138074	8	8	0.7614362	1.062133	8	8	8	7.461926	2.940492	8	3.642837	0
4.640604	1.071541	8	3.951442	5.708077	8	8	3.642837	2.959395	1.095349	8	8	4.053002	2.08695	4.781252	8	2
0.8428061	8	8	0.288702	6.289759	3.261157	8	6.647709	6.757194	2.015261	5.874172	2.997795	3.310241	8	8	8	7
6.096984	1.080819	8	4.853172	5.449333	2.93021	8	8	1.503016	8	8	8	4.150668	2.326287	5.914931	3.42306	1
0.2274148	8	8	8	5.980365	3.114442	8	3.960584	7.372585	2.563191	6.555984	0.3027435	3.619636	8	8	8	8
3.16969	2.006184	8	2.96543	5.62891	3.343508	8	4.436916	4.43031	1.068154	4.731179	2.961713	4.190221	2.312439	8	8	5
7.462515	4.995501	8	8	1.456021	8	8	8	0.1374853	8	8	8	8	3.820333	8	0.7629628	1
1.502567	8	8	8	2.705416	8	8	0.4921845	6.097433	4.655461	8	2.96543	6.894585	3.114442	8	8	3
3.563686	8	8	2.977325	8	2.312439	8	3.42306	4.036314	1.499546	2.485799	8	8	8	2.107163	8	5
2.098907	8	8	8	2.041811	8	8	8	5.501092	4.029437	8	4.046735	7.563945	3.343508	8	0.4921845	7
6.527095	4.029437	8	8	2.147015	8	8	0.7629628	1.072905	8	8	8	7.452986	2.93021	8	3.618933	0
4.636425	1.068154	8	3.930058	5.693449	8	8	3.618933	2.963575	1.080819	8	8	4.068217	2.138803	4.790899	8	2
0.8568981	8	8	0.3027435	6.292774	3.245	8	6.624133	6.743102	2.006184	5.860932	2.977325	3.307226	8	8	8	7
6.080311	1.067224	8	4.828513	5.447369	2.919689	8	8	1.519689	8	8	8	4.152632	2.363845	5.904626	3.401176	1
0.2339191	8	8	8	5.966427	3.081568	8	3.95488	7.366081	2.557141	6.558516	0.3170072	3.633573	8	8	8	8
3.169872	1.998089	8	2.939156	5.613069	3.326387	8	4.410625	4.430128	1.063164	4.744489	3.000531	4.205331	2.313359	8	8	5
7.449718	4.96557	8	8	1.460347	8	8	8	0.1502821	8	8	8	8	3.815639	8	0.7649895	1
1.498159	8	8	8	2.722508	8	8	0.5210043	6.101841	4.649157	8	2.939156	6.877492	3.081568	8	8	3
3.565191	8	8	2.956606	8	2.313359	8	3.401176	4.034809	1.489374	2.492944	8	8	8	2.118076	8	5
2.115438	8	8	8	2.038977	8	8	8	5.484561	4.001597	8	4.025245	7.567431	3.326387	8	0.5210043	7
6.515471	4.001597	8	8	2.156324	8	8	0.7649895	1.084528	8	8	8	7.443676	2.919689	8	3.59508	0
4.631536	1.063164	8	3.908219	5.679314	8	8	3.59508	2.968464	1.067224	8	8	4.083149	2.190519	4.799765	8	2
0.8709402	8	8	0.3170072	6.295522	3.227648	8	6.599549	6.72906	1.998089	5.847892	2.956606	3.304478	8	8	8	7
6.062778	1.053753	8	4.801775	5.444572	2.908333	8	8	1.537222	8	8	8	4.155428	2.40221	5.894344	3.379116	1
0.239938	8	8	8	5.951334	3.047963	8	3.948603	7.360062	2.55102	6.562139	0.3329338	3.648666	8	8	8	8
3.169576	1.989592	8	2.911927	5.596735	3.308138	8	4.383984	4.430424	1.057942	4.758485	3.040503	4.220767	2.314455	8	8	5
7.435628	4.933404	8	8	1.464051	8	8	8	0.1643717	8	8	8	8	3.810613	8	0.7667551	1
1.494428	8	8	8	2.739683	8	8	0.5499414	6.105572	4.641785	8	2.911927	6.860317	3.047963	8	8	3
3.566629	8	8	2.935106	8	2.314455	8	3.379116	4.033371	1.480812	2.500424	8	8	8	2.129233	8	5
2.133026	8	8	8	2.036418	8	8	8	5.466974	3.972322	8	4.002739	7.570721	3.308138	8	0.5499414	7
6.503436	3.972322	8	8	2.165717	8	8	0.7667551	1.096564	8	8	8	7.434283	2.908333	8	3.571537	0
4.625899	1.057942	8	3.885566	5.665425	8	8	3.571537	2.974101	1.053753	8	8	4.098049	2.242325	4.808035	8	2
0.8853829	8	8	0.3329338	6.298599	3.210653	8	6.57447	6.714617	1.989592	5.834341	2.935106	3.301401	8	8	8	7
6.044876	1.041819	8	4.774561	5.44241	2.897914	8	8	1.555124	8	8	8	4.157591	2.440071	5.883384	3.355581	1
0.2462151	8	8	8	5.935185	3.013499	8	3.942025	7.353785	2.543942	6.566189	0.3498785	3.664815	8	8	8	8
3.16857	1.979978	8	2.883193	5.579322	3.288603	8	4.357229	4.43143	1.051627	4.773786	3.082206	4.237016	2.316226	8	8	5
7.420983	4.899477	8	8	1.468182	8	8	8	0.1790164	8	8	8	8	3.805729	8	0.7677389	1
1.491329	8	8	8	2.756873	8	8	0.5794075	6.10867	4.633778	8	2.883193	6.843128	3.013499	8	8	3
3.568567	8	8	2.913262	8	2.316226	8	3.355581	4.031433	1.473343	2.507887	8	8	8	2.141194	8	5
2.15176	8	8	8	2.033636	8	8	8	5.44824	3.941885	8	3.979147	7.574327	3.288603	8	0.5794075	7
6.491347	3.941885	8	8	2.174857	8	8	0.7677389	1.108653	8	8	8	7.425143	2.897914	8	3.549521	0
4.618375	1.051627	8	3.861492	5.652025	8	8	3.549521	2.981625	1.041819	8	8	4.112997	2.294321	4.814871	8	2
0.9007065	8	8	0.3498785	6.301188	3.19319	8	6.548516	6.699293	1.979978	5.820362	2.913262	3.298811	8	8	8	7
6.027024	1.031178	8	4.747278	5.439699	2.88722	8	8	1.572975	8	8	8	4.160302	2.47867	5.872888	3.332279	1
0.2532396	8	8	8	5.918074	2.977615	8	3.934935	7.34676	2.536712	6.570222	0.3680281	3.681927	8	8	8	8
3.168198	1.970755	8	2.854454	5.561289	3.269143	8	4.329884	4.431802	1.043726	4.789294	3.124413	4.254058	2.31847	8	8	5
7.405367	4.864174	8	8	1.472907	8	8	8	0.194633	8	8	8	8	3.799436	8	0.7673556	0
1.487856	8	8	8	2.77419	8	8	0.6098243	6.112144	4.626342	8	2.854454	6.82581	2.977615	8	8	3
3.570748	8	8	2.890388	8	2.31847	8	3.332279	4.029253	1.467293	2.515275	8	8	8	2.153445	8	5
2.170787	8	8	8	2.030314	8	8	8	5.429213	3.911344	8	3.955798	7.578528	3.269143	8	0.6098243	7
6.4794	3.911344	8	8	2.183754	8	8	0.7673556	1.1206	8	8	8	7.416246	2.88722	8	3.5288	0
4.60982	1.043726	8	3.837331	5.639205	8	8	3.5288	2.99018	1.031178	8	8	4.127672	2.346128	4.820687	8	1
0.9169581	8	8	0.3680281	6.304525	3.176198	8	6.522536	6.683042	1.970755	5.805202	2.890388	3.295475	8	8	8	7
6.008971	1.020898	8	4.720342	5.436838	2.876228	8	8	1.591029	8	8	8	4.163162	2.517559	5.862394	3.308031	1
0.259752	8	8	8	5.901472	2.941339	8	3.928777	7.340248	2.528989	6.574428	0.3865077	3.698529	8	8	8	8
3.166688	1.960541	8	2.824109	5.542728	3.249362	8	4.30291	4.433311	1.036515	4.805866	3.168195	4.271264	2.320541	8	8	5
7.388811	4.828229	8	8	1.477524	8	8	8	0.2111888	8	8	8	8	3.792866	8	0.7663654	0
1.484067	8	8	8	2.792516	8	8	0.6412553	6.115933	4.619445	8	2.824109	6.807484	2.941339	8	8	3
3.573284	8	8	2.867381	8	2.320541	8	3.308031	4.026716	1.4626	2.522986	8	8	8	2.166626	8	5
2.189497	8	8	8	2.02663	8	8	8	5.410503	3.881296	8	3.932688	7.583122	3.249362	8	0.6412553	7
6.467564	3.881296	8	8	2.192864	8	8	0.7663654	1.132436	8	8	8	7.407136	2.876228	8	3.508162	0
4.600768	1.036515	8	3.812413	5.626347	8	8	3.508162	2.999232	1.020898	8	8	4.142527	2.398163	4.826299	8	1
0.9334249	8	8	0.3865077	6.307377	3.157731	8	6.496079	6.666575	1.960541	5.790156	2.867381	3.292623	8	8	8	7
5.990919	1.01126	8	4.691369	5.433184	2.863367	8	8	1.609081	8	8	8	4.166816	2.557408	5.852511	3.28408	1
0.2659545	8	8	8	5.884929	2.905463	8	3.922164	7.334045	2.520635	6.578897	0.4056809	3.715071	8	8	8	8
3.164135	1.949299	8	2.792792	5.523457	3.227158	8	4.275427	4.435865	1.030151	4.823606	3.213599	4.28884	2.323841	8	8	2
7.37166	4.790817	8	8	1.48221	8	8	8	0.2283397	8	8	8	8	3.785289	8	0.7655652	0
1.480469	8	8	8	2.810674	8	8	0.6721653	6.119531	4.612255	8	2.792792	6.789326	2.905463	8	8	3
3.576587	8	8	2.844905	8	2.323841	8	3.28408	4.023413	1.458875	2.530013	8	8	8	2.180267	8	5
2.209222	8	8	8	2.024254	8	8	8	5.390778	3.850304	8	3.908784	7.586507	3.227158	8	0.6721653	7
6.455762	3.850304	8	8	2.203094	8	8	0.7655652	1.144238	8	8	8	7.396907	2.863367	8	3.48776	0
4.591375	1.030151	8	3.788083	5.614653	8	8	3.48776	3.008625	1.01126	8	8	4.156363	2.392172	4.830796	8	1
0.950402	8	8	0.4056809	6.309962	3.139207	8	6.468432	6.649598	1.949299	5.774861	2.844905	3.290038	8	8	8	7
5.972705	1.002527	8	4.661381	5.428639	2.849181	8	8	1.627295	8	8	8	4.171361	2.598279	5.8432	3.261341	1
